query_id,question_number,source,question,model,ground_truth_sparql,generated_sparql,syntax_ok,returns_results,perfect_match,gt_num_rows,gt_num_cols,gen_num_rows,gen_num_cols,arity_matching_f1,exact_match_f1,entity_set_f1,row_matching_f1,less_columns_flag,prompt_tokens,completion_tokens,total_tokens
MORTAR_001,,,What are the brick points in this graph?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?point ?label WHERE {
  ?point a brick:Point .
  OPTIONAL { ?point rdfs:label ?label }
}",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,1009,517,1526
MORTAR_001,,,Can you find nodes that has information about an external reference?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"SELECT ?node ?predicate ?externalRef WHERE {
  ?node ?predicate ?externalRef .
  FILTER(isIRI(?externalRef) && !STRSTARTS(STR(?externalRef), ""http://example.org/""))
}
LIMIT 100",True,True,False,1346,2,99,3,0.8,0.0,0.05454545454545454,0.0,False,202,440,642
MORTAR_001,,,What points does this graph have?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"SELECT ?graph ?x ?y WHERE {
  ?graph a <http://example.org/Graph> .
  ?graph <http://example.org/hasPoint> ?point .
  ?point <http://example.org/x> ?x ;
         <http://example.org/y> ?y .
}
LIMIT 100",True,False,False,1346,2,0,3,0.8,0.0,0.0,0.0,False,478,557,1035
MORTAR_001,,,What data sources I have in my system?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },SELECT DISTINCT ?graph WHERE { GRAPH ?graph { ?s ?p ?o } },True,False,False,1346,2,0,1,0.6666666666666666,0.0,0.0,0.0,True,1622,1075,2697
MORTAR_001,,,Which entities that are instances of Point (including its subclasses) have which types?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ex: <http://example.org/>
SELECT ?entity ?type WHERE {
  ?type rdfs:subClassOf* ex:Point .
  ?entity a ?type .
}",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,1100,775,1875
MORTAR_001,,,What point entities exist and what types are they assigned?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX brick: <https://brickschema.org/schema/Brick#>
SELECT ?point ?type
WHERE {
  VALUES ?point {
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU01.RM3-3501.Zone_Air_Temp>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU09.RM0624B.Zone_Air_Temp>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU05.RM6511.Zone_Air_Damper_Command>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU06.RM6303.Zone_Supply_Air_Temp>
    <http://buildsys.org/ontologies/bldg11#bldg11.AHU.AHU06.Cooling_Valve_Output>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU02.RM5404A.VS_1_REHEAT>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU09.RM0609.Zone_Air_Temp>
    <http://buildsys.org/ontologies/bldg11#bldg11.CHW.Building_Chilled_Water_Return_Temp>
    <http://buildsys.org/ontologies/bldg11#bldg11.ZONE.AHU04.RM5415.Zone_Air_Temp_Setpoint>
    <http://buildsys.org/ontologies/bldg11#bldg11.CHW.Pump2_Start/Stop>
  }
  ?point a ?type .
}
",True,True,False,1346,2,10,2,1.0,0.014749262536873156,0.3014760960564001,0.014749262536873156,False,111756,5273,117029
MORTAR_001,,,List all measurement points along with their categories.,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX ex: <http://example.org/ontology/>
SELECT ?measurementPoint ?category WHERE {
  ?measurementPoint a ex:MeasurementPoint ;
                     ex:hasCategory ?category .
}",True,False,False,1346,2,0,2,1.0,0.0,0.0,0.0,False,199,280,479
MORTAR_001,,,What data points are defined in the building model and how are they classified?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX bldg: <http://example.org/building#>
SELECT ?dataPoint ?label ?classification WHERE {
  ?dataPoint a bldg:DataPoint .
  OPTIONAL { ?dataPoint rdfs:label ?label }
  ?dataPoint a ?classification .
  FILTER(?classification != bldg:DataPoint)
}
ORDER BY ?label",True,False,False,1346,2,0,3,0.8,0.0,0.0,0.0,False,1953,1011,2964
MORTAR_001,,,Which data points does the system include and how are they grouped?,lbl/cborg-coder,SELECT ?point ?point_type WHERE { ?point rdf:type/rdfs:subClassOf* brick:Point . ?point rdf:type ?point_type . },"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX brick: <https://brickschema.org/schema/Brick#>
SELECT ?tag ?label ?group ?groupLabel WHERE {
  ?tag a brick:Tag .
  OPTIONAL { ?tag rdfs:label ?label }
  OPTIONAL { ?tag brick:belongsToGroup ?group . ?group rdfs:label ?groupLabel }
}",True,True,False,1346,2,531,4,0.6666666666666666,0.0,0.0,0.0,False,20413,2696,23109
MORTAR_002,,,Find all equipment and its points that are Zone Air Temperature Setpoints,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>

SELECT ?equipment ?point ?equipmentLabel ?pointLabel WHERE {
  # Identify points that are Zone Air Temperature Setpoints
  ?point a brick:Zone_Air_Temperature_Setpoint .
  
  # Find the equipment that is associated with each point (commonly via hasPoint)
  ?equipment brick:hasPoint ?point .
  
  # Optional human‑readable labels
  OPTIONAL { ?equipment rdfs:label ?equipmentLabel . }
  OPTIONAL { ?point rdfs:label ?pointLabel . }
}
ORDER BY ?equipment ?point",True,False,False,221,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,203,439,642
